listing_id,address,city,province,postal_code,neighborhood,subarea,sub_area_community,property_age,property_type,style,sqft,days_on_site,bed,bath,price,strata_fee,primary_agent,primary_broker,title,description,,scrape_date
R2503448,311-1228 Marinaside Crescent,Vancouver,BC,V6Z2W4,Yaletown,yaletown-vancouver-bc,Yaletown,Built in 1997 (23 yrs old),Apt/Condo,2 Storey,1362,30,3,3,1698000,1003,Ryan Wong PREC*,Rennie & Associates Realty Ltd.,Freehold Strata,"An exceptionally rare opportunity to own a TRUE WATERFRONT home, w/no bldg or roads that stand between you & the water! This fully & tastefully updated 2-lvl ""sky townhome"" is located on landmark Marinaside Cr, in the super desirable Crestmark II. PRIVATE, SECURE & QUIET being a rare above ground lvl townhome, open & efficient 1362 sqft of living space that allows for 3 beds+3 baths+office/flex+tons of storage! Amazing unobstructed water views fm each rm that are even better in person! World class amenities incl 24hr concierge, pool, sauna, steam rm, hot tub+more.The best location just steps to EVERY convenience, gourmet eateries, grocers, parks & the world famous seawall at your feet! 2 pkg incl. THE BEST VALUE! https://my.matterport.com/show/?m=w6KWv2FSTdQ OPEN SAT/SUN OCT 31/NOV 1 2-4PM",,11/12/2020
R2507735,1903-428 Beach Crescent,Vancouver,BC,V6Z3G1,Yaletown,yaletown-vancouver-bc,Yaletown,Built in 2005 (15 yrs old),Apt/Condo,1 Storey,1359,16,2,2,2880000,1008,Jeremy Hsu PREC*,Multiple Realty Ltd.,Freehold Strata,"The most prestigious, upscale landmark building - KING'S LANDING located on Beach Crescent Seawall. This corner 2 bedroom with a den and storage has sweeping water view from English Bay to exciting Downtown Vancouver. Enjoying the sunset from your balcony with the George Wainborn Park view. From spectacular marble foyer to beautiful millwork. Gourmet kitchen equipped with stain-steel appliance. This unique home offers you exact luxurious waterfront living! Make your offer NOW!",,11/12/2020
R2488245,1701-667 Howe Street,Vancouver,BC,V6C0B5,Downtown West,downtown-west-vancouver-bc,Downtown West,Built in 2013 (7 yrs old),Apt/Condo,NA,1048,69,2,1,1598000,1009,Jason Jennings PREC*,Sotheby's International Realty Canada,NA,"5 star luxury living in the heart of the city at the Private Residences at Hotel Georgia. 2 bedroom (no closet in 2nd bedroom) with over 1000 square feet of living space. This unit offers sweeping city views, with close in views of Hotel Vancouver, the art gallery, Robson square and the green roofs below. Some of the luxury finishes of this suite include a complete top of the line appliance package, including a gas range, motorized shades, marble finished bath with separate powder room, and a walk-in laundry room. Massive master bedroom with a very large storage room or walk-in closet. 24 hour concierge service, exquisite amenities and one underground secure parking spot. Best of all this unit comes completely furnished with everything you need, from high end furniture and kitchen utensils.",,11/12/2020
R2449727,2403-125 E 14 Street,North Vancouver,BC,V7L0E6,Central Lonsdale,central-lonsdale-north-vancouver-bc,Central Lonsdale,Built in 2017 (3 yrs old),Apt/Condo,Penthouse,1706,203,2,2,3399000,1011,Chantal Vignola PREC*,Century 21 In Town Realty,Freehold Strata,"TROPHY PENTHOUSE at Centreview!!! Imagine taking in the sunset everyday and having unobstructed 270 degree CITY, OCEAN, LIONS GATE BRIDGE and MOUNTAIN views out your 20FT floor to ceiling windows! This spectacular home offers 1,700SF plus over 1,300SF of patio and private rooftop terrace (TOTAL 3000 SF)which includes hot tub, outdoor kitchen w/ BBQ, fireplace & grass area. Top of the line features include gourmet kitchen w/Wolf appliances & Sub Zero fridge, wine fridge, premium wide-plank flooring, stone countertops, A/C, electric blinds, home entertainment system, private elevator & floating staircase. HUGE Master bedroom offers a 5-piece ensuite & walk-in-closet and black out blinds. Private 3 car garage & storage included. BREATHTAKING! https://www.youtube.com/watch?v=W3F7YTMvhiE",,11/12/2020
R2505313,602-620 Cardero Street,Vancouver,BC,V6G3V6,Coal Harbour,coal-harbour-vancouver-bc,Coal Harbour,Built in 2020 (0 yrs old),Apt/Condo,Corner Unit,1628,24,3,3,3480000,1016,Clarence Debelle PREC*,Royal Pacific Lions Gate Realty Ltd.,Freehold Strata,"STUNNING CITY/MTN/OCEAN VIEWS! This sensational N/W corner 3-bedroom condo boasts 1628 sqft of luxurious living with over ""930"" sqft of sprawling sun-drenched decks and patios. FEATURES: spacious living rm, dining rm & stunning gourmet kitchen w/Miele App including induction cook-top, wall oven, steam room, wine fridge ALL opening to huge partly covered patio w/BBQ over-looking the sensational view. PLUS: stunning over-sized master w/spacious private sundeck & spa-inspired en-suite w/double sink, separate shower/bath, walk-in & wall safe, two additional generous bedrooms (each w/large private sundeck), full bathroom, powder room, stacked W/D & pantry. PLUS: European cabinetry w/LED strip lighting in kitchen & bedrm closets, electric blinds in each room, 2 parking (side-by-side) & MORE!!!",,11/12/2020
R2500853,11B-1568 W 12th Avenue,Vancouver,BC,V6J2E1,Fairview,fairview-vancouver-bc,Fairview,Built in 1981 (39 yrs old),Apt/Condo,"Corner Unit,Penthouse",2087,37,2,2,1499000,1017,Carly Franklin,Sutton Centre Realty,Freehold Strata,"Your dream Westside penthouse in the making awaits, complete with a private 838-square foot rooftop deck! Panoramic views of the city, mountains, and ocean from every room! Only 2 units per floor, and this unit has never been for sale before! Just steps from shopping and restaurants along South Granville! This unit features over 2,000 square feet, 2 parking stalls, 2 fireplaces, 3 balconies, massive living and dining room, and huge kitchen. 2 beds/2 baths, and family room could be 3rd bedroom. Bring your design ideas and build your dream penthouse in a fantastic location with stunning views!",,11/12/2020
R2507298,806/807-5615 Hampton Place,Vancouver,BC,V6T2H1,University (UBC),university-ubc-vancouver-bc,University (UBC),Built in 1997 (23 yrs old),Apt/Condo,Corner Unit,2300,20,4,3,2458000,1018,Kim Whittall,RE/MAX Masters Realty,Leasehold prepaid-Strata,"Exclusive 4 bdrm view condo at UBC campus & directly adjacent to the trails of Pacific Spirit Park with oversized windows in nearly every room looking across a canopy of evergreens, to the ocean view, this huge combined 2 unit 2,300 sq ft condo feels like living in a penthouse within the park. From the quartz counter tops in the kitchen & bathrooms to the oak hardwood floors throughout, it has been stylishly updated & needs no renovations for move-in. Here you will have enough space for a family, with 3 bthrm elegantly appointed. The open plan kitchen has a large island that seats 4 and opens to a large living room. Great for entertaining. The condo also includes 2 covered balconies and its own separate laundry/pantry room. Amenities include indoor pool/spa, gym, lounge 4 parking stalls!!",,11/12/2020
R2483374,3880 Fleming Street,Vancouver,BC,V5N3W2,Victoria East,victoria-east-vancouver-bc,Victoria East,Built in 2014 (6 yrs old),Townhouse,"2 Storey,Corner Unit",856,84,2,2,949999,102,Anie Philip PREC*,SRS Hall of Fame Realty,Freehold Strata,"6 year old small complex,consisted of detached house and duplex. This spacious 856 sq ft unit with 2 bedroom 2 bathroom unit is built to a high standard. 2/5/10 Home warranty. Incredible attention to detail here from top to bottom. Radiant heating throughout & HRV. 4 ft height crawlspace around 400 sq ft for storage.Walking distance to Lord Selkirk Elementary and Gladstone Secondary School.Easy access to all the amenities. Strata fee $101.93.",,11/12/2020
R2473438,702-768 Arthur Erickson Place,West Vancouver,BC,V7T0B6,Park Royal,park-royal-west-vancouver-bc,Park Royal,Built in 2019 (1 yrs old),Apt/Condo,"1 Storey,Penthouse",2002,114,3,3,3879900,1021,Paniz Pasha,Engel & Volkers Vancouver,Freehold Strata,"Bespoke, Luxury PENTHOUSE living in West Vancouver. Welcome to the highly sought after Evelyn – Spacious, brand new, open concept 2002 sf 3 Bed + Huge Den may be used as 4th Bed + 3 Bath Residence. Limited collection home. Expansive 1,660 sf private terrace perfect for outdoor entertaining. BRIGHT floor-to-ceiling windows, gourmet gas cooking, huge custom pantry. Master Bed w/ walk-in closet & luxurious soaker tub, shower & double vanity. Automated lighting & roller blinds, built in speakers, engineered oak hardwood flooring throughout. INCREDIBLE location surrounded by stunning West Coast VIEWS, steps to Park Royal, Ambleside Beach, beautiful parks & trails, minutes to the seawall, restaurants, shops, mall, Vancouver, grocery stores & more. Open Sun Nov 1st 2-4PM.",,11/12/2020
R2502106,1902-1228 Marinaside Crescent,Vancouver,BC,V6Z2W4,Yaletown,yaletown-vancouver-bc,Yaletown,Built in 1997 (23 yrs old),Apt/Condo,"Corner Unit,Upper Unit",1392,35,3,2,2480000,1021,Carissa Siy,Macdonald Realty,Freehold Strata,"Undoubtedly one of Yaletown’s most impressive views! Nothing stands between you and the water, as this Crestmark II home on the 19th floor is enveloped with views from every single room. Come see and feel what it’s like to have no shared neighbouring walls. From flooring to bathrooms, kitchen and even motorized blinds, this oasis was extensively updated in 2008 and rarely lived in since. It is in absolutely move-in condition! Everything that Yaletown has to offer is at your door step. A beautiful yet practical home, and an absolute pleasure to show!",,11/12/2020
R2389543,403-5131 Brighouse Way,Richmond,BC,V7C0A6,Brighouse,brighouse-richmond-bc,Brighouse,Built in 2013 (7 yrs old),Apt/Condo,"2 Storey,Corner Unit",1930,469,3,3,1880000,1022,Mike Li,Multiple Realty Ltd.,Freehold Strata,"Best Priced villa in River Green - the most prestigious water front residences in Richmond by ASPAC the creator of ""Harbour Green."" This 2-level, 1930 s.f. 3 beds offers 2 ensuites + powder room with tranquil garden view and functional floor plan located in the water front tower F. Features central air conditioning, Snaidero kitchen from Italy complemented by top of the line Mie le, Subzero appliances, fireplace, spacious master bedroom suite with walk-in closet, 2 parking, 1 locker. The 5-star resort amenities have 25-meter lap pool, sauna, steam, whirlpool, fitness, theatre , virtual golf, music room, study room, pool table and more! 24 hour concierge. Impeccable quality and amenities ever in Richmond. Just move-in!",,11/12/2020
R2501005,4118 Halifax Street,Burnaby,BC,V5C0L2,Brentwood Park,brentwood-park-burnaby-bc,Brentwood Park,Built in 2020 (0 yrs old),Apt/Condo,Ground Level Unit,2140,20,3,3,1399900,1025,Sean Lin PREC*,Magnum Projects Ltd.,Freehold Strata,"TRIOMPHE, a magnificent architectural landmark and home of unprecedented design situated in the heart of Brentwood in Burnaby. This 3 storey concrete TH came with it's own gated garage. Spacious layout with bright living room, and large patio. Feature 9' ceilings, central A/C, and Bocsh appliances. Many amenities in the building including gym, club house, pool, and concierge service.",,11/12/2020
R2507728,3403-1189 Melville Street,Vancouver,BC,V6E4T8,Coal Harbour,coal-harbour-vancouver-bc,Coal Harbour,Built in 2007 (13 yrs old),Apt/Condo,1 Storey,1697,16,3,3,1899000,1026,Haneef Virani PREC*,Virani Real Estate Advisors,Freehold Strata,"Enjoy Views of Water, City and North Shore Mountains from this fully Renovated 3 Bedroom Coal Harbour suite with almost 1700 sf of living area. Truly a unique property, with brand new diagonally installed oak hardwood floors, crown mouldings, new lighting and wall sconces, custom designed wet bar, AC, 2 Fireplaces, his and hers w/i closets with Maple closet Organizers are just a few to name. All this plus 24 Hours Concierge, Roof top Pool & Jacuzzi and 2 side by side parking spaces makes this the perfect home or investment property. Walking distance to Business District and Alberni Street chic shops and Restaurants!",,11/12/2020
R2501792,1702-1708 Columbia Street,Vancouver,BC,V5Y0H7,False Creek,false-creek-vancouver-bc,False Creek,Built in 2013 (7 yrs old),Apt/Condo,"2 Storey,Penthouse",1918,35,2,2,2789000,1031,Mark Ballard PREC*,RE/MAX Masters Realty,Freehold Strata,"Extraordinary 2-level Penthouse at Wall Centre False Creek. A unique amalgamation of 2 strata lots, custom designed to become 1 large unit of almost 2000 sq.ft. 270 degree views from Mt Baker to N Shore including downtown, false creek and marina. Designed by Urban Arts Architecture with exquisite attention to detail, providing open spaces with an abundance of natural light. Balconies on both levels give plenty of outdoor space to enjoy! Large and open entertainment spaces on the main flr with great flow. This SW corner unit provides all the gorgeous details for the discerning buyer, in a central location close to local amenities, restaurants & stores. 1 bed + dressing rm which could easily be converted to a second bed. An absolute must see! Showing by appt only COVID protocols apply.",,11/12/2020
R2493760,702-3105 Deer Ridge Drive,West Vancouver,BC,V7S3W1,Deer Ridge,deer-ridge-west-vancouver-bc,Deer Ridge,Built in 1993 (27 yrs old),Apt/Condo,Penthouse,2538,57,2,3,2598000,1035,Ray Proc,Royal LePage Sussex,Freehold Strata,"Stunning panoramic views from this spacious two level 2,538 SF penthouse.A down to the studs renovation has created a gorgeous redesigned space that is the ultimate in adult living.The reconfigured floor plan shows elegance in design and detail creating a stunning open living level with a spectacular kitchen that are an entertainers dream with expansive windows and sliding doors opening onto sunny 180’ view decks.A spacious guest bedroom with ensuite and a small office/den off the kitchen integrate perfectly into the main floor.The gorgeous master suite on the upper floor has a stunning barrel ceiling and will not disappoint with its lovely fireplace, spacious walk-in closet, pretty ensuite and huge private terrace. An incredible one of a kind residence for those looking for the very best!",,11/12/2020
R2489611,PH1-141 Water Street,Vancouver,BC,V6B1A7,Coal Harbour,coal-harbour-vancouver-bc,Coal Harbour,Built in 1996 (24 yrs old),Apt/Condo,"Loft/Warehouse Conv.,Penthouse",1908,68,2,3,2399000,1036,Morgan Browne PREC*,Oakwyn Realty Downtown Ltd.,Freehold Strata,"BREATHTAKING VIEWS from this STUNNING Penthouse. A RARE find on WATER Street steps from Waterfront station, COAL Harbour and Gastown. Walk through Iron gates to this private cobblestone courtyard and immediately you will KNOW you are somewhere special. Only 17 residences in this exclusive building and only ONE Penthouse like this. Situated on the NW corner of the top floor, this 1900+ sq ft loft has VIEWS stretching across the city and water towards the north shore mountains. PH1 is a double height Loft style 2 bedrooms with 16'7"" ceilings, 3 bathrooms with recent updates throughout that include the custom kitchen & bathrooms. Plenty of storage including a locker & 1 secure Parking stall Very proactive STRATA so buy with a sense of ease.",,11/12/2020
R2458422,1302-590 Nicola Street,Vancouver,BC,V6G3J8,Coal Harbour,coal-harbour-vancouver-bc,Coal Harbour,Built in 2003 (17 yrs old),Apt/Condo,"1 Storey,Corner Unit",1435,157,2,2,2838000,1037,John Y Kim,Sunstar Realty Ltd.,Freehold Strata,"Spectacular views of the marina, harbour, Stanley Park & North Shore Mountains from this spacious Northeast facing corner suite at the prestigious Cascina in Coal Harbour. This most desirable 02 unit in the sought after waterfront building boasts huge living and dining areas with gas fireplace, air conditioning, marble foyer, heated tile floors, and high-end quality finishes throughout. Upgrade includes high quality hardwood floor, kitchen cabinet/countertop, oven, microwave, washer/dryer, closet organizer etc. Resort-style amenities include 24 hour concierge, indoor swimming pool, hot tub, sauna, exercise room, media room, billiards, lounge, library, bike room and plenty of visitor parkings. Comes with 2 parking stalls & 1 storage locker.",,11/12/2020
R2496742,707-1561 W 57th Avenue,Vancouver,BC,V6P0H5,South Granville,south-granville-vancouver-bc,South Granville,Built in 2019 (1 yrs old),Apt/Condo,"Inside Unit,Upper Unit",1744,49,3,3,2880000,1045,Irene Wang PREC*,Royal Pacific Realty Corp.,Freehold Strata,"Luxurious 3bed, 3 bath plus den concrete condo at the prestigious Shannon Wall Center Kerrisdale in south granville. This east facing home is nestled in the quiet inner complex with elevated views of garden. Bright and spacious, functional layout feel like a house. Designer finishes includes European cabinetry, premium appliances, polished stone counter tops, hardwood floor through out. The ultimate comfort with central A/C, geothermal heating and in-floor heating in ensuite. Residences have exclusive access to the building’s amenities including a roof-top BBQ patio, fitness gym, heated outdoor pool and much more! Masks are required for all showings.",,11/12/2020
R2497666,1904-1020 Harwood Street,Vancouver,BC,V6E4R1,West End,west-end-vancouver-bc,West End,Built in 1988 (32 yrs old),Apt/Condo,"Corner Unit,Upper Unit",1681,45,3,3,1739000,1050,Janette Fricker PREC*,Rennie & Associates Realty Ltd.,Freehold Strata,"Rarely available 3 bedroom corner home at the iconic Crystallis offers the best of city living. Designed for comfort and function with a large open plan, an entertainers dream. The oversized island is a gathering place for friends and the expansive 224 sqft patio becomes an extension of the living area, great for bbqs and sunset evenings on the deck.Enjoy city views and natural light from all rooms, including the kitchen which boasts Miele, Bosch and Subzero appliances along with gorgeous marble counters and a heated floor. The master is a private enclave with the guest bedrooms in the opposite wing. 4 side-by-side parking and abundant in-suite storage + locker gives you room for all your toys.Completely updated and well maintained building inside and out, with Gym, Pool and Party Room.",,11/12/2020
R2499408,2401-125 E 14th Street,North Vancouver,BC,V7L0E6,Central Lonsdale,central-lonsdale-north-vancouver-bc,Central Lonsdale,Built in 2018 (2 yrs old),Apt/Condo,Penthouse,1450,41,2,2,2999000,1052,Chantal Vignola PREC*,Century 21 In Town Realty,Freehold Strata,"Now THIS is a PENTHOUSE!! Imagine waking up to unobstructed 270 degree city, ocean & mountain views out of soaring 18FT floor to ceiling windows! This spectacular home offers 1450sf PLUS over 1500sf of patio and private rooftop terrace (TOTAL 2955 SF) which includes hot tub, outdoor kitchen w/ BBQ, fireplace & grass area. Top of the line features include gourmet kitchen w/Wolf appliances & Sub Zero fridge, wine fridge, premium wide-plank flooring, stone countertops, A/C, home entertainment system, private elevator & floating staircase. Spacious Master bedroom offers a 5-piece ensuite & walk-in-closet and black out blinds. Private 2 car garage & storage room included. Tons of room for DOWN-SIZERS!!This will take your breath away!",,11/12/2020
R2475479,802-788 Arthur Erickson Place,West Vancouver,BC,V7T0B6,Park Royal,park-royal-west-vancouver-bc,Park Royal,Built in 2019 (1 yrs old),Apt/Condo,1 Storey,2067,108,3,3,3999900,1054,Mike Sawyer PREC*,Engel & Volkers Vancouver,Freehold Strata,"Presenting the Penthouse at Evelyn's Forest Edge, by the award winning Onni Group. West Vancouver's ultimate in luxury and discerning living. This South facing dream home is open-plan living at its best; over 2,000 sqft with 3 bedrooms, a huge den, and the best patio in West Vancouver! Gorgeous wide plank oak hardwood flooring flows throughout the Penthouse, and the kitchen features a Sub-Zero fridge and a Miele gas cooktop. The master bedroom offers a luxurious en-suite with marble counter tops and a walk-in closet. Additional interior features include air conditioning a full size washer/dryer, Savant Home Tech system, automated lighting and sound control with built-in speakers, secure parking and more. Open Sunday 25th October 2-4pm",,11/12/2020
R2498342,302-628 Kinghorne Mews,Vancouver,BC,V6Z3H6,Yaletown,yaletown-vancouver-bc,Yaletown,Built in 2006 (14 yrs old),Apt/Condo,1 Storey,1844,44,2,3,4798000,1054,Paolo Cartocci PREC*,RE/MAX Masters Realty,Freehold Strata,"Welcome to 302 at the renowned Silver Sea. Located at the Yaletown Waterfront in one of the most prominent and upcoming neighborhoods. Your own Private elevator access a to a sophisticated,completely redesigned and fully renovated residence with no expense spared. A bright, modern and warm 2 bed 3 bath featuring spa-like ensuites overlooking the ocean at False Creek. This home has been elegantly remodeled w/ a large European Kitchen featuring high-end Miele, Subzero and Wolf Appliances. Master Bed shows elegance and with ample custom closets and a divine Vandana Bain Ultra Spa. Integrated sound system, auto blinds, 2 secured parking stalls, secured bike room and private storage room. 2nd Elevator access for your Guests. Seawall promenade at your door step along with George Wainborn Park.",,11/12/2020
R2505585,1039 Expo Boulevard,Vancouver,BC,V6Z2W1,Yaletown,yaletown-vancouver-bc,Yaletown,Built in 1998 (22 yrs old),Townhouse,"Corner Unit,Ground Level Unit",1587,24,3,3,1828000,1056,Sarah K Griffiths,Oakwyn Realty Downtown Ltd.,Freehold Strata,"Welcome home to this immaculate & elegantly renovated corner townhouse! Rarely available this oasis is located on a quiet treelined walkway in the heart of Yaletown. Bright, private & open concept this limited collection allows entertaining on your expansive private rooftop deck adjacent a private courtyard or welcome your guests through your large,cozy entry patio next to the buildings iconic waterfall leading into your exclusive entry.Almost 1600sqft of indoor space, quarts & marble countertops, bedrooms on one level, & a direct access attached 2 car garage with an abundance of storage, 3rd bedroom is a den that could be converted as a sleeping area. Heat included! Concierge,1st class amenities,gym,squash court,pool& hottub, bbq/community deck & party room.Open House 2:30 to 4:30 Sat/Sun",,11/12/2020
R2512126,2202-8555 Granville Street,Vancouver,BC,V6P0C3,Southwest Marine,southwest-marine-vancouver-bc,Southwest Marine,Built in 2014 (6 yrs old),Apt/Condo,Penthouse,1830,3,4,4,2298000,1059,Jacky Chan PREC*,Park Georgia Realty Ltd.,Freehold Strata,"Welcome to the most prestigious Penthouse suite in the Westbank Development at Granville and 70th. Over 1800 square feet of one level living is perfect for those considering downsizing. Fully air conditioned, you will be in awe of the views from Sunrise to Sunset. The home was customized by the current owners and allows for ample entertaining with soaring ceilings and an outdoor terrace measuring over 700 square feet which includes its own private hot tub and gas hookups. All 3 bedrooms are en-suited, large principal rooms all facing phenomenal views of Vancouver. This is Westside living at its finest.",,11/12/2020
